specObjID,bestobjid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other
463991745781196800,588015509290025122,278.916,172.5451,99.83669,616.2267,0.39300000667572,0.25,0.35699999332428
465079432139270144,587731512081842218,892.9943,306.2496,79.38803,831.6162,0.570999979972839,0.14299999922514,0.28600001335144
465079432139270144,587731512081842218,892.9943,306.2496,79.38803,831.6162,0.570999979972839,0.14299999922514,0.28600001335144
465079432139270144,587731512081842218,892.9943,306.2496,79.38803,831.6162,0.570999979972839,0.14299999922514,0.28600001335144
465079432139270144,587731512081842218,892.9943,306.2496,79.38803,831.6162,0.570999979972839,0.14299999922514,0.28600001335144
465079432139270144,587731512081842218,892.9943,306.2496,79.38803,831.6162,0.570999979972839,0.14299999922514,0.28600001335144
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466148156971706368,587731512620351634,675.0507,332.4226,177.8673,1124.8,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
466153379115067392,587731512620351634,697.6,349.2641,190.4522,1223.85,0.19200000166893,0.17200000025332,0.63400000333786
966087579868882944,587732054309273609,18.91889,73.7547,101.4797,291.4465,0.233999997377396,0.489000007510185,0.276999998837709
