dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587722952770585097,1237648673995489776,1.46106033631583E-05,244.33086739,-0.08199632,2.691747,5.46083
587722952770585097,1237648673995489776,1.46106033631583E-05,244.33086739,-0.08199632,2.691747,5.46083
587722954380542264,1237648675605446927,1.67861258132815E-05,242.81097458,1.12749584,1.676805,3.433607
587722981770003285,1237648702994907475,2.02251335985999E-05,248.42309776,-1.21460211,2.959606,5.834097
587722981770003285,1237648702994907475,2.02251335985999E-05,248.42309776,-1.21460211,2.959606,5.834097
587722981770003285,1237648702994907475,2.02251335985999E-05,248.42309776,-1.21460211,2.959606,5.834097
587722982285443193,1237648703510347945,2.02078746800605E-06,199.42585079,-0.78706967,1.426507,3.236094
587722982298419532,1237648703523324206,2.27035133582616E-06,229.03199767,-0.80057445,1.320261,3.740403
587722982819233998,1237648704044138697,2.59061591187152E-06,192.43772275,-0.35162736,1.906737,4.606308
587722983352762532,1237648704577667254,1.41684455432674E-05,184.78269779,0.14097967,2.184127,6.064371
587722983372161650,1237648704597066454,2.11615142460525E-05,229.10908135,0.11874997,1.463179,3.930535
587722983372161650,1237648704597066454,2.11615142460525E-05,229.10908135,0.11874997,1.463179,3.930535
587722983372161650,1237648704597066454,2.11615142460525E-05,229.10908135,0.11874997,1.463179,3.930535
587722983372947777,1237648704597852432,1.74588580325085E-05,230.81458882,0.03881486,2.206134,5.127162
587722983898873958,1237648705123778817,9.50861252896422E-07,205.90680985,0.58480896,1.840274,4.643839
587722983898873958,1237648705123778817,9.50861252896422E-07,205.90680985,0.58480896,1.840274,4.643839
587722984420737188,1237648705645641944,5.53260430129594E-06,171.62090652,0.98310248,2.019717,4.867896
587724198820053117,1237649920044957812,2.28879043390892E-06,27.87400101,13.94872261,1.369529,3.541717
587724198821232756,1237649920046137510,7.42522406078286E-06,30.73585377,13.71835537,3.933404,7.516593
587724199887569058,1237649921112473766,9.78073327732621E-07,13.34963674,15.86370585,2.186038,4.399546
587724241226694659,1237649962451599440,3.72209353230005E-06,41.82277058,-8.04224527,1.511412,3.573194
587724241226694659,1237649962451599440,3.72209353230005E-06,41.82277058,-8.04224527,1.511412,3.573194
587724241226694659,1237649962451599440,3.72209353230005E-06,41.82277058,-8.04224527,1.511412,3.573194
587725039015690317,1237650760240595032,4.28494960052146E-06,174.26205781,-3.52302788,1.741269,4.584448
587725040628596896,1237650761853501640,5.80819675308649E-06,179.60776251,-2.36727722,1.868089,5.154219
587725041174118583,1237650762399023286,2.25332307684153E-06,199.34645305,-1.95519387,3.267723,9.800534
587725041711317180,1237650762936221910,7.25075294720844E-06,200.13417893,-1.38831656,1.657984,4.906332
587725041711317180,1237650762936221910,7.25075294720844E-06,200.13417893,-1.38831656,1.657984,4.906332
587725041711317180,1237650762936221910,7.25075294720844E-06,200.13417893,-1.38831656,1.657984,4.906332
587725041711317180,1237650762936221910,7.25075294720844E-06,200.13417893,-1.38831656,1.657984,4.906332
587725074989580555,1237650796214485054,1.401506138E-05,133.48129182,0.14121852,2.127968,4.133383
587725074992726237,1237650796217630959,6.77901137626757E-06,140.76865796,0.08899985,2.237461,5.481932
587725491599179904,1237651212824084614,9.96852800105538E-05,258.638046,58.63622199,3.15761,6.569321
587725505557233924,1237651226782138646,5.5718845859814E-05,259.12596115,60.23965144,1.4146,3.056704
587725505557233989,1237651226782138727,7.08729985532483E-05,259.03822925,60.17980475,2.021284,4.309716
587725550136328325,1237651271361233032,7.26005858084758E-05,171.33253449,65.6509968,3.28492,7.043204
587725551213084773,1237651272437989456,7.40098175708476E-05,188.1863423,67.14089918,1.788503,4.70536
587725551213084773,1237651272437989456,7.40098175708476E-05,188.1863423,67.14089918,1.788503,4.70536
587725551213084773,1237651272437989456,7.40098175708476E-05,188.1863423,67.14089918,1.788503,4.70536
587725551748251770,1237651272973156456,5.17634028751483E-05,178.07074609,67.38385472,1.911245,4.552779
587725551748251770,1237651272973156456,5.17634028751483E-05,178.07074609,67.38385472,1.911245,4.552779
587725551748251770,1237651272973156456,5.17634028751483E-05,178.07074609,67.38385472,1.911245,4.552779
587725552269918475,1237651273494823177,7.24019825826313E-05,121.10067972,47.52265176,1.935861,5.366987
587725552275882125,1237651273500786824,7.4145613025046E-05,135.35713094,58.11456987,1.623685,3.858634
587725552275882125,1237651273500786824,7.4145613025046E-05,135.35713094,58.11456987,1.623685,3.858634
587725590381986006,1237651311606890787,9.69529502350875E-05,259.2570591,64.12263717,1.275604,3.176164
587725590382117036,1237651311607021764,9.13116740197815E-05,259.51769683,63.89390603,2.453789,6.160415
587725590382117036,1237651311607021764,9.13116740197815E-05,259.51769683,63.89390603,2.453789,6.160415
587725590385983750,1237651311610888485,6.16737383558573E-05,264.22547935,55.35001888,2.149846,4.908596
587725774529954130,1237651495754858906,3.9277971975728E-06,115.27159079,39.60137805,1.999737,4.545758
587725774529954130,1237651495754858906,3.9277971975728E-06,115.27159079,39.60137805,1.999737,4.545758
587725774529954130,1237651495754858906,3.9277971975728E-06,115.27159079,39.60137805,1.999737,4.545758
587725775066235237,1237651496291139904,3.55862179981579E-06,113.85546391,38.65083972,1.552444,4.161427
587725816943935655,1237651538168840339,8.2854288836619E-05,150.74119628,62.70888095,1.89596,4.268559
