dr7objid,dr8objid,distance
587722952770585097,1237648673995489776,1.46106033631583E-05
587722952770585097,1237648673995489776,1.46106033631583E-05
587722954380542264,1237648675605446927,1.67861258132815E-05
587722981770003285,1237648702994907475,2.02251335985999E-05
587722981770003285,1237648702994907475,2.02251335985999E-05
587722981770003285,1237648702994907475,2.02251335985999E-05
587722982285443193,1237648703510347945,2.02078746800605E-06
587722982298419532,1237648703523324206,2.27035133582616E-06
587722982819233998,1237648704044138697,2.59061591187152E-06
587722983352762532,1237648704577667254,1.41684455432674E-05
587722983372161650,1237648704597066454,2.11615142460525E-05
587722983372161650,1237648704597066454,2.11615142460525E-05
587722983372161650,1237648704597066454,2.11615142460525E-05
587722983372947777,1237648704597852432,1.74588580325085E-05
587722983898873958,1237648705123778817,9.50861252896422E-07
587722983898873958,1237648705123778817,9.50861252896422E-07
587722984420737188,1237648705645641944,5.53260430129594E-06
587724198820053117,1237649920044957812,2.28879043390892E-06
587724198821232756,1237649920046137510,7.42522406078286E-06
587724199887569058,1237649921112473766,9.78073327732621E-07
587724241226694659,1237649962451599440,3.72209353230005E-06
587724241226694659,1237649962451599440,3.72209353230005E-06
587724241226694659,1237649962451599440,3.72209353230005E-06
587725039015690317,1237650760240595032,4.28494960052146E-06
587725040628596896,1237650761853501640,5.80819675308649E-06
587725041174118583,1237650762399023286,2.25332307684153E-06
587725041711317180,1237650762936221910,7.25075294720844E-06
587725041711317180,1237650762936221910,7.25075294720844E-06
587725041711317180,1237650762936221910,7.25075294720844E-06
587725041711317180,1237650762936221910,7.25075294720844E-06
587725074989580555,1237650796214485054,1.401506138E-05
587725074992726237,1237650796217630959,6.77901137626757E-06
587725491599179904,1237651212824084614,9.96852800105538E-05
587725505557233924,1237651226782138646,5.5718845859814E-05
587725505557233989,1237651226782138727,7.08729985532483E-05
587725550136328325,1237651271361233032,7.26005858084758E-05
587725551213084773,1237651272437989456,7.40098175708476E-05
587725551213084773,1237651272437989456,7.40098175708476E-05
587725551213084773,1237651272437989456,7.40098175708476E-05
587725551748251770,1237651272973156456,5.17634028751483E-05
587725551748251770,1237651272973156456,5.17634028751483E-05
587725551748251770,1237651272973156456,5.17634028751483E-05
587725552269918475,1237651273494823177,7.24019825826313E-05
587725552275882125,1237651273500786824,7.4145613025046E-05
587725552275882125,1237651273500786824,7.4145613025046E-05
587725590381986006,1237651311606890787,9.69529502350875E-05
587725590382117036,1237651311607021764,9.13116740197815E-05
587725590382117036,1237651311607021764,9.13116740197815E-05
587725590385983750,1237651311610888485,6.16737383558573E-05
587725774529954130,1237651495754858906,3.9277971975728E-06
587725774529954130,1237651495754858906,3.9277971975728E-06
587725774529954130,1237651495754858906,3.9277971975728E-06
587725775066235237,1237651496291139904,3.55862179981579E-06
587725816943935655,1237651538168840339,8.2854288836619E-05
587725816943935655,1237651538168840339,8.2854288836619E-05
587725816949047304,1237651538173952121,3.57793047436365E-05
587725816963399762,1237651538188304466,7.01989868191708E-05
587725818024886354,1237651539249791043,7.86626418602387E-05
587725993572565111,1237651714797469952,4.86109878922534E-05
587725993572565111,1237651714797469952,4.86109878922534E-05
587726013996793920,1237651735221698565,1.41999712526351E-06
